Last name,Latin first name,First name,Middle name,Order,Session I,Session II,Session III,Session IV,Wikipedia,Wikidata,VIAF,Worldcat identities,Find a Grave,Catholic Hierarchy,Selected mention,Status,# wikipedia pages,Country of origin/Country represented,Birth year,Death year,Age at start of council,Age at death,Highest Episcopal Title,Sainthood,Important,Photo no reuse,Photo reuse,Change during council,Memoir on the council,Typo,Credibly accused? (USA only),Humanae Vitae,Ethics Watch,Left priesthood,Notes
Von Phul Mouton,Richardus,Richard,null,null,1,1,1,1,null,null,null,null,null,null,Obituary,council,0,USA,1931,2017,31,86,null,null,null,https://images.findagrave.com/photos/2017/172/180615999_1498157365.jpg,null,null,null,null,no,null,null,null,
Wagner,Ioannes,Johannes,null,null,1,1,1,1,https://de.wikipedia.org/wiki/Johannes_Wagner_(Theologe),https://www.wikidata.org/wiki/Q63348918,http://viaf.org/viaf/310512411,https://worldcat.org/identities/lccn-n94002751/,null,null,Biography (article),council,1,Germany,1908,1999,54,91,null,null,yes,https://www.archiv-vegelahn.de/images/Bibel_W/Wagner_Johannes.jpg,null,null,null,null,null,null,null,null,
Wagnon,Henricus,Henri,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q85839177,http://viaf.org/viaf/89453886,https://worldcat.org/identities/viaf-89453886/,null,null,Obituary,council,0,France,1906,1983,56,77,null,null,null,null,null,null,null,null,null,null,null,null,
Weigel,,Gustave,null,null,null,null,null,null,null,https://www.wikidata.org/wiki/Q52148698,http://viaf.org/viaf/65526758,https://worldcat.org/identities/lccn-n87819736/,https://www.findagrave.com/memorial/41269545/gustave-a-weigel,null,Obituary,private,0,USA,1906,1964,56,58,null,null,null,http://www.catholicauthors.com/images/weigel.jpg,null,died,null,null,no,null,null,null,
Welykyj,Athanasius,Athanasius,null,OSBM,1,0,0,0,https://uk.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%B8%D0%B9_%D0%90%D1%82%D0%B0%D0%BD%D0%B0%D1%81%D1%96%D0%B9_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%96%D0%B9,https://www.wikidata.org/wiki/Q12088316,http://viaf.org/viaf/40659344,https://worldcat.org/identities/lccn-n79127120/,null,https://www.catholic-hierarchy.org/bishop/bwelykyj.html,null,council,6,Ukraine,1918,1982,44,64,null,null,null,null,"https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%B8%D0%B9,_%D0%90%D1%82%D0%B0%D0%BD%D0%B0%D1%81%D0%B8%D0%B9-%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%B8%D0%B9#/media/%D0%A4%D0%B0%D0%B9%D0%BB:Atanas_Welykyj.jpg",appointed superior general,null,null,null,null,null,null,"paleography, director of the Vatican Radio in Ukraine"
White,Porter I.,Porter,J,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/206782037/porter-j-white,null,null,council,0,USA,1914,1988,48,74,null,null,null,https://images.findagrave.com/photos250/photos/2022/103/206782037_e07fcd75-09ff-4ac8-bd30-06c6a476ca4e.png,null,null,null,null,no,null,null,null,confirmed excommunication of Berrigans
Whitty,Petrus,Peter,null,null,1,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,England,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Willebrands,Ioannes,Johannes,null,null,1,1,0,0,https://en.wikipedia.org/wiki/Johannes_Willebrands,https://www.wikidata.org/wiki/Q703973,http://viaf.org/viaf/12356273,https://worldcat.org/identities/lccn-n88183182/,https://www.findagrave.com/memorial/15149354/johannes-gerardus_maria-willebrands,https://www.catholic-hierarchy.org/bishop/bwille.html,Biography (article),council,17,Netherlands,1909,2006,53,97,Cardinal,null,null,null,https://en.wikipedia.org/wiki/Johannes_Willebrands#/media/File:Johannes_Willebrands_1982_color.jpg,appointed bishop,9789042922570,null,null,null,null,null,
Wirz,Georgius,George,Otto,null,1,1,1,1,https://en.wikipedia.org/wiki/George_Otto_Wirz,https://www.wikidata.org/wiki/Q279107,null,null,https://www.findagrave.com/memorial/129773973/george-otto-wirz,https://www.catholic-hierarchy.org/bishop/bwirz.html,Obituary,council,3,USA,1929,2010,33,81,Bishop,null,null,https://madisoncatholicherald.org/images/stories/headshots/wirz-bishop-george-o.jpg,null,null,null,null,no,null,null,null,
Witte,Ioannes,Jan,L,SJ,1,1,1,1,null,null,http://viaf.org/viaf/960159233927103370266,https://worldcat.org/identities/viaf-960159233927103370266/,null,null,Mentioned in article,council,0,Netherlands,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Wojnar,Meletius,Meletius,M,OSBM,1,1,1,1,https://uk.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0%D1%80_%D0%9C%D0%B5%D0%BB%D0%B5%D1%82%D1%96%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE,https://www.wikidata.org/wiki/Q21683689,http://viaf.org/viaf/16658073,https://worldcat.org/identities/lccn-n2006074467/,null,null,null,council,2,USA,1911,1988,51,77,null,null,null,null,https://uk.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0%D1%80_%D0%9C%D0%B5%D0%BB%D0%B5%D1%82%D1%96%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE#/media/%D0%A4%D0%B0%D0%B9%D0%BB:%D0%9C%D0%B5%D0%BB%D0%B5%D1%82%D1%96%D0%B9_%D0%92%D0%BE%D0%B9%D0%BD%D0%B0%D1%80.jpg,null,null,null,null,null,null,null,
Work,,Martin H.,H,null,null,null,null,null,null,null,http://viaf.org/viaf/61096564,https://www.worldcat.org/identities/lccn-no00094722/,null,null,Subject of article,private,0,USA,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Worlock,Theodoricus,Derek,null,null,0,1,1,1,https://en.wikipedia.org/wiki/Derek_Worlock,https://www.wikidata.org/wiki/Q3023789,http://viaf.org/viaf/47644709,https://www.worldcat.org/identities/lccn-n91099803/,https://www.findagrave.com/memorial/208922305/derek-john_harford-worlock,https://www.catholic-hierarchy.org/bishop/bworlock.html,Obituary,council,7,England,1920,1996,42,76,Bishop,null,null,null,"https://www.wikidata.org/wiki/Q3023789#/media/File:Detail_from_the_statue_of_Derek_Worlock,_the_former_Catholic_Archbishop_of_Liverpool_2.jpg",appointed bishop,9780225668414,null,null,null,null,null,Vatican list possibly wrong; he was a Council Father for session 4
Wuenschel,Eduardus,Edward,A,CSSR,0,1,1,1,null,null,http://viaf.org/viaf/79516242,https://www.worldcat.org/identities/lccn-no98107243/,https://www.findagrave.com/memorial/236742514/edward-wuenschel,null,Obituary,council,0,USA,1898,1964,64,66,null,null,null,https://images.findagrave.com/photos/2022/45/236742514_3dd1096f-b9d7-4959-8ef8-c0a4c06f2eb0.jpeg,https://thecatholicnewsarchive.org/?a=d&d=SLR19530918-01.2.106.40&srpos=2&e=-------en-20--1--txt-txIN-wuenschel-ILLUSTRATION------,died,null,yes (last name was Wuenackel),no,null,null,null,Shroud of Turin expert
